ChEMBL ID,Smiles,Canonical_Smiles,bioactivity_class,pKi,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL4081856,O=S(=O)(c1ccccc1)N1C[C@H]2OC34CCC1C2C31CCN(CC2CC2)C4Cc2ccc(O)cc21,Oc1ccc2c(c1)C13CCN(C(C2)C23CCC3C1[C@H](O2)CN3S(=O)(=O)c1ccccc1)CC1CC1,active,9.698970004,492.64100000000025,3.291100000000002,1.0,5.0
CHEMBL281786,CO[C@]12CC[C@]3(C[C@@H]1C(O)(C)C)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)CC1CC1)ccc2O,CO[C@]12CC[C@]3(C[C@@H]1C(O)(C)C)[C@@]14[C@H]2Oc2c4c(C[C@H]3N(CC1)CC1CC1)ccc2O,active,9.698970004,425.5690000000003,3.387600000000002,2.0,5.0
CHEMBL408832,CCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NN[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)N[C@H](Cc1cn(C(=O)OC23CC4CC(CC(C4)C2)C3)c2ccccc12)C(=O)O,CCCC[C@@H](C(=O)N[C@@H](C(=O)O)Cc1cn(c2c1cccc2)C(=O)OC12CC3CC(C2)CC(C1)C3)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NN[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](C(=O)O)Cc1ccc(cc1)O)C)Cc1ccccc1)CC(=O)O,active,9.698970004,1212.3680000000002,3.796600000000014,12.0,15.0
CHEMBL226217,Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,Oc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)nc(s2)N)CC1CC1,active,9.698970004,367.51800000000014,3.124100000000001,2.0,5.0
CHEMBL3086304,Nc1nc2c(s1)C[C@H]1[C@H]3Cc4ccc(O)cc4[C@@]1(CCN3CC1CC1)C2,Oc1ccc2c(c1)[C@@]13CCN([C@H](C2)[C@@H]3Cc2c(C1)nc(s2)N)CC1CC1,active,9.698970004,367.51800000000014,3.124100000000001,2.0,5.0
CHEMBL302801,CCN(CC)C(=O)c1ccc(/C(=C2/C[C@@H]3CC[C@H](C2)N3CCc2ccccc2)c2ccccc2)cc1,CCN(C(=O)c1ccc(cc1)/C(=C/1\C[C@H]2CC[C@@H](C1)N2CCc1ccccc1)/c1ccccc1)CC,active,9.698970004,478.6800000000002,6.840000000000008,0.0,2.0
CHEMBL368522,Oc1ccc2c3c1O[C@H]1c4c(c5ccccc5n4CCF)C[C@@]4(O)C(C2)N(CC2CC2)CCC314,FCCn1c2c(c3c1cccc3)C[C@@]1(C34[C@H]2Oc2c4c(CC1N(CC3)CC1CC1)ccc2O)O,active,9.698970004,460.5490000000003,4.015500000000005,2.0,5.0
CHEMBL569316,CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3ccccn3)CC2)cc1,CCN(C(=O)c1ccc(cc1)N(c1cccc(c1)O)C1CCN(CC1)CCc1ccccn1)CC,active,9.698970004,472.6330000000004,5.114400000000004,1.0,5.0
CHEMBL2208349,CC1C2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5O)cc4)cc3C1(C)CCN2CC1CC1,CC1C2Cc3c(C1(C)CCN2CC1CC1)cc(cc3)C(=O)NCCc1ccc(cc1)c1ccccc1O,active,9.698970004,494.6790000000002,5.965900000000007,2.0,3.0
CHEMBL210005,C[C@H]1[C@H]2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5)cc4)cc3[C@]1(C)CCN2CC1CC1,C[C@H]1[C@H]2Cc3c([C@]1(C)CCN2CC1CC1)cc(cc3)C(=O)NCCc1ccc(cc1)c1ccccc1,active,9.698970004,478.6800000000002,6.260300000000006,1.0,2.0
CHEMBL67790,CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2cccs2)c2ccc(O)cc2)cc1,CCNC(=O)c1ccc(cc1)C(=C1CC2CCC(C1)N2Cc1cccs1)c1ccc(cc1)O,active,9.522878745,458.62700000000007,5.832300000000006,2.0,4.0
CHEMBL3758257,N[C@@H](Cc1ccc(O)cc1)C(=O)N1Cc2ccccc2CC1CN[C@@H](Cc1ccccc1)C(=O)NC(CC1CCCCC1)C(=O)O,Oc1ccc(cc1)C[C@@H](C(=O)N1Cc2ccccc2CC1CN[C@H](C(=O)NC(C(=O)O)CC1CCCCC1)Cc1ccccc1)N,active,9.522878745,626.7980000000001,3.9562000000000017,5.0,6.0
CHEMBL367497,CCn1c2c(c3ccccc31)C[C@@]1(O)C3Cc4ccc(O)c5c4C1(CCN3CC1CC1)[C@H]2O5,CCn1c2c(c3c1cccc3)C[C@@]1(C34[C@H]2Oc2c4c(CC1N(CC3)CC1CC1)ccc2O)O,active,9.522878745,442.55900000000025,4.065900000000005,2.0,5.0
